indicator,type,chain,confidence,role,context
0x22f96D61cF118efaBC7C5bF3384734FaD2f6eaD4,contract,ethereum,HIGH,resolver-contract-1,"Family A (identical bytecode); 9 setString writes Dec 5-8 2025; published by Sysdig"
0xe26c57B7fA8de030238b0a71b3d063397aC127D3,contract,ethereum,HIGH,resolver-contract-2,"Family A (identical bytecode); 25 setString writes Jan-May 2026; published by eSentire"
0xDf0B529043Ef7a2BB9111bAd26de624a326baCf9,contract,ethereum,HIGH,resolver-contract-3,"Family B variant (adds getters 0x62b57aeb/0x62bf2985, topic 0x3c520374); 25 writes Apr-May 2026; published by DFIR Report"
0x40A7d723F5Df6c88464bC95DBf7D96573fBc4f85,contract,ethereum,HIGH,resolver-contract-4-NOVEL,"Family A (identical bytecode + IPFS 1de57633); 1 write Dec 4 2025 (api-gateway-prod.com); NOVEL - not in public reporting"
0xE941A9b283006F5163EE6B01c1f23AA5951c4C8D,wallet,ethereum,HIGH,operator-contract-1,"Operator of contract #1; funded by 0x14afdDD6"
0x8D7e3Cc5342439ff28c589a902b685eA4d398C12,wallet,ethereum,HIGH,operator-contract-2,"Operator of contract #2"
0x5953f27F044779a3AFCd2BF56a4B712583Dd2E4e,wallet,ethereum,HIGH,operator-contract-3,"Operator of contract #3; funded via FixedFloat + ChangeNOW (no-KYC swaps)"
0x14afdDD627Fb0e039365554f8bbDB881eCb1C708,wallet,ethereum,HIGH,deployer-funder,"Deployed contract #4 AND funded operator #1; single-use intermediary (Nonce 2->3); funded by 0x564aa223"
0x564Aa2230f9c4944bEf4c9e1aBF8F75cb2e4a23A,wallet,ethereum,HIGH,intermediary,"Funded 0x14afdDD6; single-use (Nonce 1); funded by SideShift hot wallet"
0xcdd37ada79f589c15bd4f8fd2083dc88e34a2af2,wallet,ethereum,HIGH,exchange-terminus,"SideShift hot wallet - no-KYC instant swap; DPRK funding chain terminus"
0x3ca6280dac32fee85e9d3d81188d59eed7e4966e5b3df13a910924cf6ade2d47,event-topic,ethereum,HIGH,family-anchor-A,"StringChanged(address indexed account, string newString) topic-0; binds Family A contracts AND the Iranian MuddyWater/Tsundere resolver family - cross-cluster builder anchor"
0x3c520374,event-topic-prefix,ethereum,MODERATE,family-anchor-B,"Variant StringChanged topic on contract #3 (Family B fork)"
0x7d434425,function-selector,ethereum,HIGH,getString-read,"EtherRAT resolver read selector (getString)"
0x7fcaf666,function-selector,ethereum,HIGH,setString-write,"EtherRAT resolver write selector (setString) - carries C2 payload"
1de57633fefe5e5685ff0dc91b16c628ac4b2544e90be126d02cda08fa28ce11,solc-metadata-ipfs,ethereum,HIGH,build-fingerprint,"Solidity compiler metadata IPFS hash shared by Family A contracts #1/#2/#4 - proves identical source+compiler build"
0x002E9EB388CBD72BAD2E1409306AF719D0DB15E4,wallet,ethereum,HIGH,iran-operator-ref,"Iranian Tsundere operator (cross-reference); funded by 0xC43636B1 - DISJOINT from DPRK funders"
0x73625B6cdFECC81A4899D221C732E1f73e504a32,wallet,ethereum,HIGH,iran-operator-ref,"Iranian Tsundere operator (cross-reference); funded by 0x635DE420 - DISJOINT from DPRK funders"
